Date,USD_TRY,Bread_Index,Meat_Index,Milk_Index
2019-01-01,5.369390909090909,151.15,143.74,164.5
2019-02-01,5.262055,153.08,144.5,162.83
2019-03-01,5.441938095238095,153.91,147.07,159.11
2019-04-01,5.735771428571429,155.49,157.63,157.89
2019-05-01,6.049445454545455,160.6,168.12,162.81
2019-06-01,5.811935294117647,163.49,170.91,165.32
2019-07-01,5.672177272727272,165.8,168.16,166.73
2019-08-01,5.624788888888889,167.01,161.66,168.44
2019-09-01,5.712795238095238,167.64,158.25,169.22
2019-10-01,5.784540909090909,169.54,156.33,169.28
2019-11-01,5.731228571428572,171.69,156.06,174.38
2019-12-01,5.837627272727272,174.45,157.33,187.96
2020-01-01,5.918159090909091,177.76,160.53,191.61
2020-02-01,6.04447,179.85,164.38,192.64
2020-03-01,6.314431818181817,181.19,172.49,189.74
2020-04-01,6.818952380952381,183.82,178.97,194.11
2020-05-01,6.951947058823529,185.12,182.71,197.71
2020-06-01,6.808831818181818,187.1,181.18,192.53
2020-07-01,6.851095238095238,187.81,179.97,194.97
2020-08-01,7.252190000000001,190.13,177.73,196.14
2020-09-01,7.507781818181818,193.73,175.05,197.45
2020-10-01,7.873880952380952,199.22,176.11,203.51
2020-11-01,8.00332380952381,205.87,183.09,210.83
2020-12-01,7.721065217391304,209.79,185.17,217.71
2021-01-01,7.393975,213.38,190.27,233.84
2021-02-01,7.0723650000000005,215.78,197.94,238.77
2021-03-01,7.628234782608695,218.33,204.86,239.08
2021-04-01,8.155023809523808,219.77,210.21,236.82
2021-05-01,8.34225,222.02,216.33,236.51
2021-06-01,8.59668181818182,225.26,228.84,236.8
2021-07-01,8.612941176470589,231.28,232.52,245.41
2021-08-01,8.475714285714286,235.24,231.32,263.01
2021-09-01,8.511881818181818,240.94,229.85,270.88
2021-10-01,9.139945,247.99,231.03,273.48
2021-11-01,10.523263636363636,265.17,244.73,280.92
2021-12-01,13.528495652173913,317.02,289.68,338.15
2022-01-01,13.519261904761905,341.3,307.79,390.14
2022-02-01,13.621125000000001,359.67,314.84,385.23
2022-03-01,14.565608695652175,379.8,358.47,381.75
2022-04-01,14.683566666666666,405.04,421.52,423.07
2022-05-01,15.623922222222221,420.62,443.47,450.86
2022-06-01,16.96471818181818,442.0,450.26,499.0
2022-07-01,17.387416666666667,469.76,441.18,514.73
2022-08-01,17.99495,488.46,432.21,528.76
2022-09-01,18.281477272727273,501.43,434.15,542.52
2022-10-01,18.564614285714285,515.96,446.75,575.83
2022-11-01,18.590895454545457,533.71,451.83,646.28
2022-12-01,18.636968181818183,547.95,471.26,659.47
2023-01-01,18.757572727272727,579.63,548.32,689.84
2023-02-01,18.82331,595.88,595.78,746.55
2023-03-01,18.969308695652174,609.82,685.7,756.86
2023-04-01,19.30225263157895,614.32,778.02,756.25
2023-05-01,19.684047619047618,619.82,804.62,749.58
2023-06-01,23.064489473684212,629.36,833.0,738.37
2023-07-01,26.4227380952381,691.22,868.4,754.26
2023-08-01,26.950577272727273,778.08,885.04,848.61
2023-09-01,26.94091904761905,800.13,910.7,897.98
2023-10-01,27.796031818181817,811.96,960.11,914.99
2023-11-01,28.585586363636363,836.45,983.16,987.08
2023-12-01,29.022561904761904,860.24,1034.69,1007.07
2024-01-01,29.999699999999997,903.89,1100.61,1020.67
2024-02-01,30.70415238095238,956.17,1194.07,1100.95
2024-03-01,31.929219047619046,965.57,1361.75,1082.71
2024-04-01,32.27132777777778,985.36,1467.27,1075.37
2024-05-01,32.18989545454545,1025.21,1500.62,1087.17
2024-06-01,32.46274705882353,1070.76,1463.95,1106.7
2024-07-01,32.83532727272728,1107.93,1455.66,1128.08
2024-08-01,33.56078095238095,1129.76,1418.84,1144.68
2024-09-01,33.969271428571425,1144.8,1438.76,1210.07
2024-10-01,34.17101818181818,1178.55,1427.88,1194.0
2024-11-01,34.364714285714285,1199.19,1455.87,1229.53
2024-12-01,34.903822727272726,1215.56,1475.16,1269.39
