model,fold,MAE,RMSE,R2
LinearRegression,1,12.68449456276714,18.59062666418443,0.5138648914830388
LinearRegression,2,331.82643507587704,357.4362199421821,-42.89402114391249
LinearRegression,3,812.2521232742745,939.9325180128159,-139.42857287537393
LinearRegression,4,108.93068247616696,124.9148685007008,-0.27096041215030753
LinearRegression,5,130.85469599150068,151.6278216196757,-11.343413236112372
Ridge,1,12.02787154063683,19.044764066190837,0.489823885959331
Ridge,2,63.44852224434582,67.96275736811812,-0.5869024572076627
Ridge,3,37.29186684909244,47.82848669670329,0.6363903399782412
Ridge,4,16.69897594677425,20.912163391705015,0.9643793631243823
Ridge,5,57.87659524917459,69.98905726376455,-1.6298910962568942
Lasso,1,13.469678186160301,18.819265663672365,0.5018337814962395
Lasso,2,290.82079186520536,313.16612619825446,-32.69440655528464
Lasso,3,57.21077793904327,62.26178161446907,0.38382337314667125
Lasso,4,58.25482456517913,66.32701423477671,0.6416687798667648
Lasso,5,71.54590992102898,83.54406704231249,-2.7472157978678053
RandomForest,1,34.209490740740165,43.28004815904119,-1.6347802450779527
RandomForest,2,138.60454629629697,148.88767102587786,-6.615978763336466
RandomForest,3,168.27723055555495,186.24013721860035,-4.513262853768616
RandomForest,4,230.7746675925948,257.1831155276566,-4.3875170710160285
RandomForest,5,171.69376944443974,179.86997945608968,-16.36980118080143
